path,size_bytes
lib/armeabi-v7a/libmonosgen-2.0.so,4456548
lib/x86/libmonosgen-2.0.so,4212360
lib/arm64-v8a/libmonosgen-2.0.so,4055904
lib/arm64-v8a/libmono-btls-shared.so,1613872
lib/armeabi-v7a/libaot-mscorlib.dll.so,1508164
lib/x86/libmono-btls-shared.so,1459584
lib/armeabi-v7a/libaot-Xamarin.Forms.Core.dll.so,1389396
lib/x86/libaot-mscorlib.dll.so,1382684
lib/arm64-v8a/libaot-mscorlib.dll.so,1256472
lib/x86/libaot-Xamarin.Forms.Core.dll.so,1244668
lib/arm64-v8a/libaot-Xamarin.Forms.Core.dll.so,1179168
lib/armeabi-v7a/libmono-btls-shared.so,1112688
lib/armeabi-v7a/libaot-Xamarin.Forms.Platform.Android.dll.so,1099284
lib/x86/libaot-Xamarin.Forms.Platform.Android.dll.so,995276
lib/arm64-v8a/libaot-Xamarin.Forms.Platform.Android.dll.so,968392
lib/armeabi-v7a/libaot-Mono.Android.dll.so,864156
lib/x86/libmono-native.so,823560
lib/armeabi-v7a/libmono-native.so,785140
lib/arm64-v8a/libmono-native.so,750976
lib/x86/libaot-System.Collections.Immutable.dll.so,734396
lib/armeabi-v7a/libaot-System.Collections.Immutable.dll.so,663012
lib/x86/libaot-Mono.Android.dll.so,633964
lib/arm64-v8a/libaot-Mono.Android.dll.so,632672
lib/arm64-v8a/libaot-System.Collections.Immutable.dll.so,596904
lib/x86/libaot-AsyncEnumerable.dll.so,582876
lib/armeabi-v7a/libaot-RayshiftTranslateFGO.Android.dll.so,535660
lib/armeabi-v7a/libaot-AsyncEnumerable.dll.so,526292
lib/arm64-v8a/libaot-AsyncEnumerable.dll.so,507816
lib/arm64-v8a/libaot-RayshiftTranslateFGO.Android.dll.so,493776
lib/armeabi-v7a/libaot-System.Core.dll.so,490928
